Model,Sampler,Tuning Stage,Threshold,ROC-AUC,Accuracy,F1-Score(1),Precision(1),Recall(1),F1-Score(0),Precision(0),Recall(0),F2-Score(1)
Logistic Regression,Original,Baseline,0.35,0.8452580780528745,0.7714205972648619,0.6936026936026936,0.6293279022403259,0.7725,0.8177164478077009,0.8706161137440759,0.7708770457406631,0.7388809182209469
Logistic Regression,Original,Baseline,0.4,0.8452580780528745,0.7890036282444879,0.7007125890736342,0.667420814479638,0.7375,0.8370689655172414,0.8604342046964998,0.814939152328997,0.7223310479921645
Logistic Regression,Original,Baseline,0.45,0.8452580780528745,0.7968183086798772,0.6979253112033195,0.6950413223140496,0.7008333333333333,0.8469301934398654,0.8487147071217868,0.8451531682752833,0.699667221297837
Logistic Regression,Original,Baseline,0.5,0.8452580780528745,0.7948646385710298,0.6791793976429507,0.7131072410632447,0.6483333333333333,0.8492307692307692,0.8306581059390048,0.8686529584557281,0.6603293159056187
Logistic Regression,Original,Baseline,0.55,0.8452580780528745,0.7901200111638292,0.6575591985428051,0.7248995983935743,0.6016666666666667,0.848692152917505,0.8152299961345187,0.8850188837599664,0.6228433402346446
Logistic Regression,Original,Baseline,0.6,0.8452580780528745,0.7887245325146526,0.642080378250591,0.7420765027322405,0.5658333333333333,0.8501286873886359,0.8047226386806596,0.9009651699538397,0.5940507436570429
Logistic Regression,Original,Baseline,0.65,0.8452580780528745,0.7834217136477812,0.6096579476861167,0.7690355329949239,0.505,0.8501351873310158,0.7874776386404293,0.9236256819135543,0.5422333571939871
Logistic Regression,Original,Tuned,0.35,0.8454395719681075,0.7708624058051912,0.69331341053418,0.6283006093432634,0.7733333333333333,0.8171084874136779,0.8708452041785375,0.7696181284095678,0.7392066273697626
Logistic Regression,Original,Tuned,0.4,0.8454395719681075,0.7901200111638292,0.7022961203483769,0.6689291101055806,0.7391666666666666,0.8379310344827586,0.8613203367301728,0.8157784305497272,0.7239634345412994
Logistic Regression,Original,Tuned,0.45,0.8454395719681075,0.7970974044097126,0.6982150269821503,0.695616211745244,0.7008333333333333,0.8471725877653984,0.8487784330244313,0.8455728073856483,0.6997836578465635
Logistic Regression,Original,Tuned,0.5,0.8454395719681075,0.7948646385710298,0.6788990825688074,0.7134986225895317,0.6475,0.8492925979085504,0.8303929430633521,0.8690725975660931,0.6597045338767193
Logistic Regression,Original,Tuned,0.55,0.8454395719681075,0.7884454367848172,0.6551410373066424,0.7214428857715431,0.6,0.8474235104669887,0.8143133462282398,0.8833403273185061,0.6209037599172128
Logistic Regression,Original,Tuned,0.6,0.8454395719681075,0.7873290538654758,0.6388625592417062,0.7406593406593407,0.5616666666666666,0.8492879746835443,0.8032173587729143,0.9009651699538397,0.5901926444833625
Logistic Regression,Original,Tuned,0.65,0.8454395719681075,0.7817471392687692,0.6054490413723511,0.7672634271099744,0.5,0.8491512345679012,0.7857907890039272,0.9236256819135543,0.5374417771408098
LDA,Original,Baseline,0.35,0.8449290110504966,0.7789561819704158,0.7004538577912254,0.6412742382271468,0.7716666666666666,0.8248562582927909,0.8719027582982702,0.7826269408308855,0.7415118513773222
LDA,Original,Baseline,0.4,0.8449290110504966,0.7998883617080659,0.7114688128772636,0.6879377431906615,0.7366666666666667,0.8468276009399701,0.8624891209747607,0.8317247167436005,0.7263763352506163
